epoch,critic_loss,critic_real_score,critic_fake_score,gradient_penalty,generator_loss,generator_score,vol_penalty
28,-1.4482381939888,-6.867564797401428,-8.48216462135315,0.01663616206496954,8.74155855178833,-8.672930240631104,0.0013725629542022943
29,-1.5015074014663696,-8.542139053344727,-10.203954458236694,0.016030805185437202,10.566014528274536,-10.513671636581421,0.0010468641994521022
30,-1.491797685623169,-8.485126495361328,-10.125906467437744,0.014898230321705341,9.872718334197998,-9.808460474014282,0.0012851522187702358
31,-1.4019164443016052,-7.327074289321899,-8.925613164901733,0.019662241218611598,9.053719282150269,-8.972844362258911,0.0016174985794350505
32,-1.3979042172431946,-6.803308606147766,-8.40743374824524,0.02062209229916334,8.805458545684814,-8.731079578399658,0.0014875835040584207
33,-1.3982561230659485,-7.968069314956665,-9.60001802444458,0.023369256872683764,9.422529458999634,-9.359609842300415,0.0012583907810039818
34,-1.3442065119743347,-7.6053725481033325,-9.2007155418396,0.02511365246027708,8.935217142105103,-8.878857612609863,0.0011271937401033938
35,-1.2957049310207367,-7.0274879932403564,-8.613987922668457,0.029079496976919472,9.214611291885376,-9.155978202819824,0.001172659802250564
36,-1.2232284545898438,-8.760595321655273,-10.50362253189087,0.051979875192046165,9.578784942626953,-9.515836238861084,0.0012589730322360992
37,-1.4282119870185852,-7.23430061340332,-8.833670139312744,0.017115754541009665,8.95721983909607,-8.858226537704468,0.001979866938199848
38,-1.4944092631340027,-7.860973119735718,-9.502032279968262,0.014664986170828342,9.859126329421997,-9.741832494735718,0.0023458737414330244
39,-1.4306302070617676,-7.8151503801345825,-9.403423309326172,0.01576427323743701,9.689968585968018,-9.626195907592773,0.001275453541893512
40,-1.4699480533599854,-8.178204774856567,-9.817989826202393,0.016983698587864637,9.804125308990479,-9.747286796569824,0.0011367693077772856
41,-1.4077209830284119,-9.596646308898926,-11.316416263580322,0.031204895116388798,11.33603549003601,-11.277715682983398,0.0011663930490612984
42,-1.467458724975586,-9.303994178771973,-10.948850393295288,0.01773974858224392,10.70574402809143,-10.642946481704712,0.0012559516471810639
43,-1.4230389595031738,-8.366039991378784,-9.989551305770874,0.020047237165272236,9.90025281906128,-9.820384740829468,0.0015973628032952547
44,-1.3915725946426392,-8.348071098327637,-9.956527948379517,0.021688425913453102,9.845338344573975,-9.7652108669281,0.001602553529664874
45,-1.365075260400772,-8.971925020217896,-10.615268230438232,0.027826796052977443,10.66129755973816,-10.594084739685059,0.0013442516792565584
46,-1.3586591482162476,-10.170319318771362,-11.868396997451782,0.033941853791475296,10.500713586807251,-10.437715291976929,0.0012599657056853175
47,-1.4675244092941284,-8.640511274337769,-10.268596887588501,0.016056123422458768,10.273423671722412,-10.18440294265747,0.0017804092494770885
48,-1.462436020374298,-8.865906238555908,-10.498764753341675,0.017042248509824276,10.423951387405396,-10.312753200531006,0.002223963267169893
49,-1.4063173532485962,-8.502161264419556,-10.112739086151123,0.02042604796588421,10.453750371932983,-10.380230903625488,0.0014703926863148808
