epoch,critic_loss,critic_real_score,critic_fake_score,gradient_penalty,generator_loss,generator_score,vol_penalty
0,-1.3009417057037354,-1.727666199207306,-3.07984671369195,0.005123883485794067,3.282865062355995,-3.0966230034828186,0.0037248391890898347
1,-1.3519057035446167,-3.302605003118515,-4.732807159423828,0.007829644018784165,4.7115638256073,-4.578343510627747,0.0026644079480320215
2,-1.355605959892273,-3.582439035177231,-5.0186240673065186,0.008057903498411179,4.677825570106506,-4.593422055244446,0.0016880707698874176
3,-1.39956533908844,-3.7395495176315308,-5.20941424369812,0.007029935950413346,5.507467746734619,-5.434111714363098,0.0014671169919893146
4,-1.3555452823638916,-4.49182003736496,-5.91834032535553,0.0070974992122501135,4.684102535247803,-4.610740423202515,0.0014672457473352551
5,-1.3839588165283203,-3.5593103766441345,-5.030931711196899,0.008766255807131529,4.5583385825157166,-4.489264070987701,0.00138148880796507
6,-1.4292316436767578,-4.076118588447571,-5.592798352241516,0.00874481350183487,5.535914838314056,-5.462029874324799,0.0014776959433220327
7,-1.45314222574234,-4.388846933841705,-5.933257222175598,0.009126805001869798,5.9377182722091675,-5.861855685710907,0.0015172561397776008
8,-1.4180594682693481,-4.803113162517548,-6.30445408821106,0.008328145137056708,6.028372406959534,-5.958099961280823,0.0014054444036446512
9,-1.4532560110092163,-5.3183553814888,-6.870689749717712,0.00990783330053091,6.614177942276001,-6.541565179824829,0.0014522564597427845
10,-1.4302277565002441,-5.105251610279083,-6.634300231933594,0.009882084093987942,6.639693379402161,-6.57067596912384,0.0013803478213958442
11,-1.4781900644302368,-5.361569583415985,-6.945974826812744,0.010621519759297371,7.004464268684387,-6.941310167312622,0.0012630829005502164
12,-1.4534580707550049,-6.340136528015137,-7.908312082290649,0.011471753008663654,6.214375078678131,-6.148167550563812,0.0013241470442153513
13,-1.4567281603813171,-5.976898431777954,-7.543613910675049,0.010998729150742292,7.37611448764801,-7.313959956169128,0.001243093516677618
14,-1.4654672145843506,-6.3364481925964355,-7.898564338684082,0.009664895478636026,7.921698451042175,-7.860318183898926,0.0012276037014089525
15,-1.4823464751243591,-6.915022492408752,-8.504508972167969,0.010714002419263124,8.694134593009949,-8.6261385679245,0.0013599234516732395
16,-1.5139902234077454,-7.905576109886169,-9.534462928771973,0.011489659547805786,8.032209038734436,-7.942987084388733,0.00178444420453161
17,-1.4876981377601624,-7.5880314111709595,-9.194830179214478,0.011910061817616224,9.128207921981812,-9.051137447357178,0.0015414110966958106
18,-1.4616310000419617,-7.053807497024536,-8.642078161239624,0.012663968838751316,8.49976372718811,-8.434053182601929,0.0013142137322574854
19,-1.4416003823280334,-7.07923698425293,-8.659127950668335,0.01382906036451459,8.44333553314209,-8.38442087173462,0.001178294827695936
20,-1.4487361907958984,-6.946953654289246,-8.528465032577515,0.013277519959956408,7.686067461967468,-7.628039479255676,0.0011605597683228552
21,-1.4440972208976746,-6.963382005691528,-8.606578826904297,0.01990995742380619,8.431873798370361,-8.369178652763367,0.0012539027957245708
22,-1.4436336159706116,-6.382902026176453,-7.9540112018585205,0.012747552711516619,8.264784812927246,-8.192606687545776,0.0014435648336075246
23,-1.4566242694854736,-7.49670934677124,-9.086423635482788,0.013308999594300985,9.123225927352905,-9.055461168289185,0.0013552946620620787
24,-1.5090566277503967,-7.8360419273376465,-9.483760356903076,0.013866179157048464,9.277476787567139,-9.218752145767212,0.0011744911316782236
25,-0.9373624920845032,-8.833521366119385,-10.21035122871399,0.04394674114882946,10.842438697814941,-10.771848678588867,0.00141180120408535
26,-1.5087823867797852,-8.003485560417175,-9.641295909881592,0.012902797665446997,9.556143045425415,-9.465261697769165,0.0018176286830566823
27,-1.5018463730812073,-7.6250752210617065,-9.265771389007568,0.013884975109249353,9.177961349487305,-9.051398038864136,0.0025312633952125907
