epoch,train_critic_loss,train_critic_real_score,train_critic_fake_score,train_gradient_penalty,train_generator_loss,train_generator_score,train_vol_penalty,val_generator_loss,val_critic_real_score,val_critic_fake_score,val_wasserstein_estimate,val_mean_gap,val_vol_gap
0,4.824839594011957,0.11800074365667322,0.10075085000558333,0.48420895145020704,4.388079859993675,0.14365778753364628,0.09063475308093158,-0.4383900463581085,0.4450600892305374,0.4383900463581085,0.006670042872428894,0.0003109232638962567,0.006011058809235692
1,0.8811168061061339,-0.016636434942483902,-0.055124588649381294,0.09196049601516941,4.0537142970345235,0.03070665963671424,0.08168841762976213,-0.026486298069357872,0.018817761912941933,0.026486298069357872,-0.007668536156415939,0.0004647699388442561,0.005586646730080247
2,1.5728421753103083,-0.1432646946473555,-0.16619279303333975,0.15957702628590845,3.277050083333796,-0.14877572655677795,0.06256548687815666,-0.11124669574201107,0.08836277364753187,0.11124669574201107,-0.02288392186164856,0.000706064107362181,0.004679330158978701
3,1.418651114810597,-0.35988723960789765,-0.3687204407020049,0.14274843104860999,2.4470588077198374,-0.391815337267789,0.0411048699170351,0.2051776424050331,-0.26386427134275436,-0.2051776424050331,-0.05868662893772125,0.0010988254216499627,0.0036762143718078732
4,0.8458292132074182,-1.4824823086911982,-1.386905930259011,0.07502528220753778,2.6755164970051157,-1.4096852811900051,0.025316624140197582,1.34185591340065,-1.601136028766632,-1.34185591340065,-0.25928011536598206,0.0019091590074822307,0.0028974515153095126
5,0.7235755947503176,-1.8899660435589878,-1.719670837575739,0.05532803825653074,2.4037528905001553,-1.7063259861686013,0.01394853808663108,0.10702341794967651,-0.2010963261127472,-0.10702341794967651,-0.09407290816307068,0.0028709417674690485,0.0024986088392324746
6,1.3906178636984392,-0.9270385720513084,-0.9505633603442799,0.14141426675698973,1.3144286979328503,-0.9218580180948431,0.007851413408802315,0.15986944735050201,-0.18536285310983658,-0.15986944735050201,-0.025493405759334564,0.0034617934143170714,0.0024025088059715927
7,-0.09720584005117416,-1.1408567374402827,-1.3812175772406838,0.014315499987622554,1.6911069479855625,-1.412869843569669,0.0055647415786304255,1.7742968201637268,-1.5133313536643982,-1.7742968201637268,0.2609654664993286,0.003023111028596759,0.0025050040567293763
8,-0.4984811706976457,-1.9003326025876133,-2.466749516400424,0.006793574451214888,2.773033770647916,-2.5146144303408535,0.005168386269360781,3.0203709602355957,-2.4775373935699463,-3.0203709602355957,0.5428335666656494,0.0019948057597503066,0.0023886789567768574
9,-0.6093038483099504,-2.292232556776567,-2.97176270051436,0.0070226292591542006,3.2112765962427314,-2.968632611361417,0.004852880131114613,3.170012593269348,-2.545996069908142,-3.170012593269348,0.624016523361206,0.0013460147310979664,0.0023070713505148888
