[macro_film] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
----------------------------------------------------------------------
Epoch  57/300 | D=-0.0382 G=68.2825 | frob=7.6000 (best=7.8055) | 33.8s
Epoch  58/300 | D=-0.0411 G=69.6797 | frob=7.6445 (best=7.6000) | 34.2s
Epoch  59/300 | D=-0.0497 G=68.8000 | frob=7.3841 (best=7.6000) | 34.3s
Epoch  60/300 | D=-0.0434 G=64.8622 | frob=8.0105 (best=7.3841) | 34.2s
Epoch  61/300 | D=-0.0535 G=60.1622 | frob=7.3468 (best=7.3841) | 37.3s
Epoch  62/300 | D=-0.0551 G=56.7473 | frob=6.9865 (best=7.3468) | 33.9s
Epoch  63/300 | D=-0.0476 G=54.8147 | frob=6.7856 (best=6.9865) | 33.4s
Epoch  64/300 | D=-0.0573 G=51.6564 | frob=6.6011 (best=6.7856) | 33.3s
Epoch  65/300 | D=-0.0696 G=50.7180 | frob=6.4096 (best=6.6011) | 33.5s
Epoch  66/300 | D=-0.0523 G=48.1632 | frob=6.0805 (best=6.4096) | 34.0s
Epoch  67/300 | D=-0.0610 G=46.4975 | frob=5.8868 (best=6.0805) | 34.4s
Epoch  68/300 | D=-0.0697 G=44.9455 | frob=5.8793 (best=5.8868) | 34.4s
Epoch  69/300 | D=-0.0761 G=41.5690 | frob=7.3507 (best=5.8793) | 34.0s
Epoch  70/300 | D=-0.0899 G=40.3797 | frob=5.9054 (best=5.8793) | 34.5s
Epoch  71/300 | D=-0.0913 G=39.2456 | frob=5.6729 (best=5.8793) | 34.6s
Epoch  72/300 | D=-0.1046 G=37.2685 | frob=5.6919 (best=5.6729) | 34.8s
Epoch  73/300 | D=-0.1047 G=34.9292 | frob=5.6024 (best=5.6729) | 34.2s
Epoch  74/300 | D=-0.1109 G=32.5744 | frob=5.6538 (best=5.6024) | 35.9s
Epoch  75/300 | D=-0.1274 G=30.8928 | frob=5.5990 (best=5.6024) | 33.0s
Epoch  76/300 | D=-0.1450 G=29.3902 | frob=5.6695 (best=5.5990) | 33.1s
Epoch  77/300 | D=-0.1474 G=27.8495 | frob=5.5766 (best=5.5990) | 33.3s
Epoch  78/300 | D=-0.1630 G=26.4379 | frob=5.4320 (best=5.5766) | 33.5s
Epoch  79/300 | D=-0.1777 G=25.0457 | frob=5.1954 (best=5.4320) | 33.3s
Epoch  80/300 | D=-0.1841 G=23.4006 | frob=4.9106 (best=5.1954) | 34.7s
Epoch  81/300 | D=-0.1992 G=22.0505 | frob=4.7923 (best=4.9106) | 38.0s
Epoch  82/300 | D=-0.2227 G=20.9279 | frob=4.6911 (best=4.7923) | 34.5s
Epoch  83/300 | D=-0.2367 G=19.9186 | frob=4.5562 (best=4.6911) | 33.0s
Epoch  84/300 | D=-0.2497 G=18.8611 | frob=4.4524 (best=4.5562) | 33.3s
