Date,tbl,tms,dfy,svar
2011-01-03,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-04,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-05,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-06,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-07,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-10,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-11,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-12,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-13,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-14,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-17,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-18,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-19,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-20,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-21,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-24,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-25,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-26,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-27,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-28,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-01-31,-0.7193106568162789,1.844085631290259,0.5568416592998073,-0.2720413544259719
2011-02-01,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-02,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-03,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-04,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-07,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-08,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-09,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-10,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-11,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-14,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-15,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-16,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-17,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-18,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-21,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-22,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-23,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-24,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-25,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-02-28,-0.7301965313299221,2.0250952932187007,0.04698348107152852,-0.2387732814701011
2011-03-01,-0.746525343100387,1.9044221852664056,-0.08048106348554308,-0.026125885552789874
2011-03-02,-0.746525343100387,1.9044221852664056,-0.08048106348554308,-0.026125885552789874
2011-03-03,-0.746525343100387,1.9044221852664056,-0.08048106348554308,-0.026125885552789874
2011-03-04,-0.746525343100387,1.9044221852664056,-0.08048106348554308,-0.026125885552789874
2011-03-07,-0.746525343100387,1.9044221852664056,-0.08048106348554308,-0.026125885552789874
