[sf_balanced] all (60 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch  50/300 | D=0.0084 G=-26.7515 SF=0.0012(s=10.00) | frob=2.1447 (best=2.3708) | 18.6s
Epoch  51/300 | D=0.0007 G=-27.3567 SF=0.0011(s=10.00) | frob=2.2370 (best=2.1447) | 18.7s
Epoch  52/300 | D=-0.0124 G=-27.8116 SF=0.0011(s=10.00) | frob=2.1247 (best=2.1447) | 18.4s
Epoch  53/300 | D=-0.0190 G=-26.2784 SF=0.0011(s=10.00) | frob=2.3857 (best=2.1247) | 18.8s
Epoch  54/300 | D=-0.0291 G=-22.3622 SF=0.0011(s=10.00) | frob=2.3182 (best=2.1247) | 18.5s
Epoch  55/300 | D=-0.0318 G=-20.5761 SF=0.0011(s=10.00) | frob=2.0319 (best=2.1247) | 18.0s
Epoch  56/300 | D=-0.0134 G=-20.6123 SF=0.0011(s=10.00) | frob=2.2026 (best=2.0319) | 18.6s
Epoch  57/300 | D=-0.0150 G=-20.8631 SF=0.0010(s=10.00) | frob=2.1811 (best=2.0319) | 18.6s
Epoch  58/300 | D=-0.0174 G=-19.6137 SF=0.0010(s=10.00) | frob=2.1005 (best=2.0319) | 18.5s
Epoch  59/300 | D=-0.0184 G=-18.1562 SF=0.0010(s=10.00) | frob=2.0915 (best=2.0319) | 18.7s
Epoch  60/300 | D=-0.0143 G=-16.5295 SF=0.0010(s=10.00) | frob=2.1291 (best=2.0319) | 18.5s
Epoch  61/300 | D=-0.0199 G=-15.2697 SF=0.0010(s=10.00) | frob=2.1965 (best=2.0319) | 18.4s
Epoch  62/300 | D=-0.0217 G=-14.0573 SF=0.0011(s=10.00) | frob=1.9682 (best=2.0319) | 18.6s
Epoch  63/300 | D=-0.0235 G=-11.6886 SF=0.0010(s=10.00) | frob=2.0547 (best=1.9682) | 18.6s
Epoch  64/300 | D=-0.0378 G=-11.4309 SF=0.0010(s=10.00) | frob=2.2212 (best=1.9682) | 18.9s
