Date,Close,High,Low,Open,Volume
2011-01-03,37.130001068115234,37.18000030517578,36.369998931884766,36.380001068115234,8212400
2011-01-04,37.470001220703125,37.5,36.83000183105469,37.029998779296875,6724300
2011-01-05,37.59000015258789,37.810001373291016,37.290000915527344,37.5,7528100
2011-01-06,38.369998931884766,38.400001525878906,37.7400016784668,37.959999084472656,7157300
2011-01-07,38.45000076293945,38.540000915527344,38.04999923706055,38.380001068115234,6437700
2011-01-10,38.45000076293945,38.650001525878906,38.0099983215332,38.540000915527344,5725300
2011-01-11,39.08000183105469,39.099998474121094,38.34000015258789,38.529998779296875,5569100
2011-01-12,38.86000061035156,39.33000183105469,38.810001373291016,39.22999954223633,5872400
2011-01-13,39.599998474121094,39.599998474121094,38.93000030517578,39.27000045776367,8618200
2011-01-14,40.77000045776367,40.900001525878906,39.40999984741211,39.47999954223633,10560400
2011-01-18,40.880001068115234,40.9900016784668,40.470001220703125,40.790000915527344,6738900
2011-01-19,40.560001373291016,41.02000045776367,40.11000061035156,40.869998931884766,9424600
2011-01-20,40.310001373291016,40.5,39.369998931884766,40.0,11293100
2011-01-21,40.40999984741211,40.59000015258789,40.130001068115234,40.58000183105469,7384200
2011-01-24,39.810001373291016,40.5,39.70000076293945,40.40999984741211,7604100
2011-01-25,40.619998931884766,41.0,39.650001525878906,39.689998626708984,10000100
2011-01-26,40.25,41.130001068115234,40.11000061035156,40.59000015258789,8937900
2011-01-27,42.290000915527344,42.41999816894531,40.439998626708984,40.939998626708984,13558000
2011-01-28,40.93000030517578,42.439998626708984,40.86000061035156,42.310001373291016,7767400
2011-01-31,41.04999923706055,41.31999969482422,40.709999084472656,41.02000045776367,7320400
2011-02-01,42.06999969482422,42.18000030517578,41.290000915527344,41.36000061035156,9074600
2011-02-02,41.95000076293945,42.2599983215332,41.66999816894531,41.7400016784668,4285800
2011-02-03,43.040000915527344,44.09000015258789,40.900001525878906,41.779998779296875,14831200
2011-02-04,42.4900016784668,43.900001525878906,42.040000915527344,43.150001525878906,8338500
2011-02-07,41.810001373291016,42.2599983215332,41.56999969482422,42.13999938964844,7114100
2011-02-08,41.970001220703125,42.54999923706055,41.38999938964844,41.52000045776367,5618500
2011-02-09,42.06999969482422,42.459999084472656,41.83000183105469,41.970001220703125,5232500
2011-02-10,42.43000030517578,42.58000183105469,42.02000045776367,42.279998779296875,5457200
2011-02-11,42.380001068115234,42.84000015258789,42.040000915527344,42.15999984741211,5051100
2011-02-14,42.459999084472656,42.5099983215332,41.619998931884766,42.2400016784668,3752200
2011-02-15,42.029998779296875,42.459999084472656,41.88999938964844,42.11000061035156,4392700
2011-02-16,42.5,42.560001373291016,41.9900016784668,42.20000076293945,4993700
2011-02-17,42.59000015258789,42.75,42.150001525878906,42.34000015258789,4823300
2011-02-18,42.84000015258789,43.29999923706055,42.560001373291016,42.689998626708984,6034900
2011-02-22,42.959999084472656,44.33000183105469,42.72999954223633,43.86000061035156,10738900
2011-02-23,42.90999984741211,43.689998626708984,42.560001373291016,42.58000183105469,7102200
2011-02-24,42.75,43.349998474121094,42.380001068115234,42.83000183105469,6313200
2011-02-25,42.52000045776367,43.02000045776367,42.40999984741211,42.849998474121094,5498700
2011-02-28,42.58000183105469,42.939998626708984,42.349998474121094,42.66999816894531,6644900
2011-03-01,42.45000076293945,42.959999084472656,42.380001068115234,42.560001373291016,5547400
2011-03-02,43.560001373291016,43.790000915527344,42.45000076293945,42.54999923706055,7233800
2011-03-03,44.790000915527344,44.88999938964844,43.7400016784668,44.27000045776367,8739600
2011-03-04,44.45000076293945,44.86000061035156,43.869998931884766,44.63999938964844,5622100
2011-03-07,43.560001373291016,44.77000045776367,43.310001373291016,44.470001220703125,6084100
2011-03-08,43.83000183105469,44.099998474121094,43.119998931884766,43.599998474121094,4696700
2011-03-09,44.4900016784668,44.5099983215332,43.529998779296875,43.90999984741211,4553400
2011-03-10,43.790000915527344,44.290000915527344,43.599998474121094,44.290000915527344,5117600
2011-03-11,43.59000015258789,44.060001373291016,43.2599983215332,43.880001068115234,4774800
2011-03-14,43.15999984741211,43.43000030517578,42.849998474121094,43.29999923706055,4516400
2011-03-15,42.790000915527344,43.08000183105469,42.15999984741211,42.34000015258789,4397900
2011-03-16,41.86000061035156,42.689998626708984,41.459999084472656,42.68000030517578,7141200
2011-03-17,42.27000045776367,42.72999954223633,41.90999984741211,42.400001525878906,5850600
2011-03-18,42.599998474121094,42.849998474121094,42.29999923706055,42.369998931884766,7372200
2011-03-21,43.189998626708984,43.43000030517578,42.65999984741211,42.83000183105469,4592100
2011-03-22,42.7400016784668,43.709999084472656,42.65999984741211,43.2599983215332,4505300
2011-03-23,42.75,42.869998931884766,42.38999938964844,42.63999938964844,3348200
2011-03-24,43.79999923706055,43.939998626708984,43.0099983215332,43.2400016784668,3917900
2011-03-25,43.75,44.02000045776367,43.599998474121094,43.630001068115234,4190300
2011-03-28,43.869998931884766,44.04999923706055,43.5099983215332,43.90999984741211,3531100
2011-03-29,44.47999954223633,44.47999954223633,43.75,43.75,4202900
2011-03-30,45.400001525878906,45.58000183105469,44.58000183105469,44.720001220703125,6533900
2011-03-31,45.20000076293945,45.75,45.11000061035156,45.63999938964844,5374300
2011-04-01,45.61000061035156,45.7400016784668,45.29999923706055,45.5,4511600
2011-04-04,45.599998474121094,46.09000015258789,45.52000045776367,45.939998626708984,3499900
2011-04-05,45.09000015258789,45.27000045776367,44.779998779296875,44.86000061035156,4950900
2011-04-06,44.959999084472656,45.2599983215332,44.83000183105469,45.189998626708984,5158600
2011-04-07,44.43000030517578,48.58000183105469,44.41999816894531,44.77000045776367,7706300
2011-04-08,44.380001068115234,45.2400016784668,44.13999938964844,44.619998931884766,4723900
2011-04-11,44.31999969482422,44.4900016784668,43.84000015258789,44.33000183105469,6048700
2011-04-12,44.810001373291016,44.900001525878906,44.029998779296875,44.189998626708984,3959100
