[baseline] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [baseline] | T_L=252 | lr=0.0005
  G: 2,507,232 params
  D: 1,598,209 params
----------------------------------------------------------------------
Epoch  62/300 | D=-0.0041 G=10.0054 | frob=11.0075 (best=10.6142) | 33.2s
Epoch  63/300 | D=-0.0071 G=10.1789 | frob=12.0343 (best=10.6142) | 33.6s
Epoch  64/300 | D=-0.0132 G=10.4197 | frob=12.0336 (best=10.6142) | 35.0s
Epoch  65/300 | D=-0.0149 G=10.4201 | frob=12.3418 (best=10.6142) | 34.1s
Epoch  66/300 | D=-0.0189 G=10.6387 | frob=10.3765 (best=10.6142) | 33.6s
Epoch  67/300 | D=-0.0184 G=10.7014 | frob=10.8429 (best=10.3765) | 33.4s
Epoch  68/300 | D=-0.0200 G=10.7378 | frob=11.0685 (best=10.3765) | 34.6s
Epoch  69/300 | D=-0.0227 G=11.1913 | frob=10.5256 (best=10.3765) | 33.6s
Epoch  70/300 | D=-0.0028 G=11.5524 | frob=10.7241 (best=10.3765) | 34.6s
Epoch  71/300 | D=0.0432 G=11.5453 | frob=12.1863 (best=10.3765) | 33.6s
Epoch  72/300 | D=-0.0172 G=11.7517 | frob=11.4607 (best=10.3765) | 34.5s
Epoch  73/300 | D=-0.0193 G=12.0165 | frob=11.1662 (best=10.3765) | 34.0s
Epoch  74/300 | D=-0.0184 G=12.3271 | frob=10.6862 (best=10.3765) | 33.2s
Epoch  75/300 | D=-0.0224 G=12.6372 | frob=10.5196 (best=10.3765) | 33.3s
Epoch  76/300 | D=-0.0218 G=12.8872 | frob=9.4157 (best=10.3765) | 33.3s
Epoch  77/300 | D=-0.0194 G=12.7972 | frob=9.7080 (best=9.4157) | 34.4s
Epoch  78/300 | D=-0.0251 G=13.1720 | frob=9.4940 (best=9.4157) | 33.8s
Epoch  79/300 | D=-0.0272 G=13.5863 | frob=8.6711 (best=9.4157) | 33.0s
Epoch  80/300 | D=-0.0370 G=13.5355 | frob=8.4657 (best=8.6711) | 33.5s
Epoch  81/300 | D=-0.0411 G=13.5138 | frob=8.2001 (best=8.4657) | 34.7s
Epoch  82/300 | D=-0.0435 G=13.5826 | frob=8.3073 (best=8.2001) | 33.8s
Epoch  83/300 | D=-0.0538 G=13.4876 | frob=6.8150 (best=8.2001) | 33.6s
Epoch  84/300 | D=-0.0575 G=13.4134 | frob=6.5258 (best=6.8150) | 35.0s
Epoch  85/300 | D=-0.0593 G=13.3772 | frob=6.0109 (best=6.5258) | 33.8s
Epoch  86/300 | D=-0.0608 G=13.0985 | frob=6.6494 (best=6.0109) | 34.3s
Epoch  87/300 | D=-0.0717 G=12.9863 | frob=6.4713 (best=6.0109) | 33.2s
Epoch  88/300 | D=-0.0719 G=12.8769 | frob=6.5527 (best=6.0109) | 34.0s
Epoch  89/300 | D=-0.0797 G=12.6973 | frob=6.4209 (best=6.0109) | 33.9s
Epoch  90/300 | D=-0.0901 G=12.3215 | frob=6.5622 (best=6.0109) | 33.2s
Epoch  91/300 | D=-0.0988 G=12.3131 | frob=7.1269 (best=6.0109) | 33.2s
Epoch  92/300 | D=-0.0996 G=12.1141 | frob=6.6862 (best=6.0109) | 33.0s
Epoch  93/300 | D=-0.1092 G=12.0535 | frob=7.1335 (best=6.0109) | 33.6s
Epoch  94/300 | D=-0.1123 G=12.0132 | frob=7.0147 (best=6.0109) | 33.0s
Epoch  95/300 | D=-0.1240 G=11.9892 | frob=7.2433 (best=6.0109) | 33.0s
Epoch  96/300 | D=-0.1334 G=11.9508 | frob=7.3921 (best=6.0109) | 33.1s
Epoch  97/300 | D=-0.1391 G=11.9580 | frob=7.2179 (best=6.0109) | 33.4s
Epoch  98/300 | D=-0.1549 G=11.8930 | frob=7.1057 (best=6.0109) | 34.4s
Epoch  99/300 | D=-0.1603 G=11.9974 | frob=7.2125 (best=6.0109) | 33.9s
Epoch 100/300 | D=-0.1677 G=12.0341 | frob=6.4497 (best=6.0109) | 33.6s
Epoch 101/300 | D=-0.1843 G=11.9279 | frob=6.3933 (best=6.0109) | 34.9s
Epoch 102/300 | D=-0.2079 G=11.7577 | frob=6.1095 (best=6.0109) | 33.7s
Epoch 103/300 | D=-0.2140 G=11.5370 | frob=5.5129 (best=6.0109) | 33.8s
Epoch 104/300 | D=-0.2260 G=11.3575 | frob=5.7474 (best=5.5129) | 33.3s
Epoch 105/300 | D=-0.2278 G=11.1958 | frob=5.5671 (best=5.5129) | 32.8s
Epoch 106/300 | D=-0.2523 G=10.8071 | frob=5.2208 (best=5.5129) | 33.9s
Epoch 107/300 | D=-0.2689 G=10.4858 | frob=5.5764 (best=5.2208) | 33.0s
Epoch 108/300 | D=-0.2785 G=10.2768 | frob=5.5197 (best=5.2208) | 33.4s
Epoch 109/300 | D=-0.2990 G=10.1606 | frob=5.4989 (best=5.2208) | 33.5s
Epoch 110/300 | D=-0.2976 G=9.9821 | frob=5.3732 (best=5.2208) | 32.8s
Epoch 111/300 | D=-0.3061 G=10.0090 | frob=4.8339 (best=5.2208) | 33.0s
Epoch 112/300 | D=-0.3416 G=9.8574 | frob=5.2350 (best=4.8339) | 34.4s
Epoch 113/300 | D=-0.3536 G=9.6658 | frob=5.1546 (best=4.8339) | 33.3s
Epoch 114/300 | D=-0.3763 G=9.3969 | frob=5.1865 (best=4.8339) | 33.7s
Epoch 115/300 | D=-0.3791 G=9.1921 | frob=5.0756 (best=4.8339) | 19.9s
Epoch 116/300 | D=-0.3902 G=8.9387 | frob=4.9647 (best=4.8339) | 18.8s
Epoch 117/300 | D=-0.4016 G=8.6728 | frob=5.0881 (best=4.8339) | 31.6s
Epoch 118/300 | D=-0.4117 G=8.4601 | frob=5.1570 (best=4.8339) | 33.5s
Epoch 119/300 | D=-0.4349 G=8.1314 | frob=5.1218 (best=4.8339) | 33.1s
Epoch 120/300 | D=-0.4470 G=7.9264 | frob=4.7675 (best=4.8339) | 33.2s
Epoch 121/300 | D=-0.4630 G=7.6827 | frob=5.0285 (best=4.7675) | 34.2s
Epoch 122/300 | D=-0.4762 G=7.4027 | frob=5.1250 (best=4.7675) | 33.5s
Epoch 123/300 | D=-0.4938 G=7.1333 | frob=5.1038 (best=4.7675) | 34.0s
Epoch 124/300 | D=-0.5079 G=6.8720 | frob=5.4692 (best=4.7675) | 34.6s
Epoch 125/300 | D=-0.5224 G=6.6592 | frob=5.7269 (best=4.7675) | 33.5s
Epoch 126/300 | D=-0.5414 G=6.4331 | frob=5.9902 (best=4.7675) | 33.4s
Epoch 127/300 | D=-0.5490 G=6.1482 | frob=6.0966 (best=4.7675) | 33.6s
Epoch 128/300 | D=-0.5730 G=5.9493 | frob=5.8047 (best=4.7675) | 32.6s
Epoch 129/300 | D=-0.5901 G=5.8713 | frob=5.9832 (best=4.7675) | 33.0s
