[sf_balanced] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch  51/300 | D=-0.0018 G=91.9980 SF=0.0011(s=10.00) | frob=2.2468 (best=2.1349) | 33.8s
Epoch  52/300 | D=-0.0019 G=91.6992 SF=0.0011(s=10.00) | frob=2.2183 (best=2.1349) | 34.1s
Epoch  53/300 | D=-0.0257 G=92.6584 SF=0.0011(s=10.00) | frob=2.4273 (best=2.1349) | 34.6s
Epoch  54/300 | D=-0.0094 G=94.2094 SF=0.0012(s=10.00) | frob=2.2102 (best=2.1349) | 33.9s
Epoch  55/300 | D=-0.0082 G=90.1530 SF=0.0012(s=10.00) | frob=2.5079 (best=2.1349) | 34.2s
Epoch  56/300 | D=-0.0135 G=87.1182 SF=0.0012(s=10.00) | frob=2.3984 (best=2.1349) | 34.1s
Epoch  57/300 | D=-0.0188 G=86.0680 SF=0.0011(s=10.00) | frob=2.2766 (best=2.1349) | 34.1s
Epoch  58/300 | D=-0.0256 G=86.0996 SF=0.0011(s=10.00) | frob=2.1165 (best=2.1349) | 34.1s
Epoch  59/300 | D=-0.0186 G=83.8685 SF=0.0011(s=10.00) | frob=2.2401 (best=2.1165) | 34.3s
Epoch  60/300 | D=-0.0248 G=80.3090 SF=0.0011(s=10.00) | frob=2.2312 (best=2.1165) | 34.1s
Epoch  61/300 | D=-0.0396 G=74.7674 SF=0.0011(s=10.00) | frob=2.0706 (best=2.1165) | 37.5s
Epoch  62/300 | D=-0.0294 G=71.2272 SF=0.0011(s=10.00) | frob=2.2095 (best=2.0706) | 33.5s
Epoch  63/300 | D=-0.0282 G=68.5602 SF=0.0010(s=10.00) | frob=2.2950 (best=2.0706) | 33.2s
Epoch  64/300 | D=-0.0330 G=65.4298 SF=0.0010(s=10.00) | frob=2.0805 (best=2.0706) | 33.1s
Epoch  65/300 | D=-0.0376 G=64.5160 SF=0.0010(s=10.00) | frob=2.0728 (best=2.0706) | 34.0s
Epoch  66/300 | D=-0.0562 G=61.9513 SF=0.0010(s=10.00) | frob=1.9281 (best=2.0706) | 34.4s
Epoch  67/300 | D=-0.0401 G=60.3638 SF=0.0010(s=10.00) | frob=2.0878 (best=1.9281) | 34.4s
Epoch  68/300 | D=-0.0480 G=58.5546 SF=0.0010(s=10.00) | frob=1.9678 (best=1.9281) | 33.6s
Epoch  69/300 | D=-0.0591 G=54.3354 SF=0.0009(s=10.00) | frob=2.1270 (best=1.9281) | 34.6s
Epoch  70/300 | D=-0.0628 G=53.7683 SF=0.0010(s=10.00) | frob=1.9501 (best=1.9281) | 34.8s
Epoch  71/300 | D=-0.0690 G=51.6434 SF=0.0009(s=10.00) | frob=1.9350 (best=1.9281) | 34.5s
Epoch  72/300 | D=-0.0734 G=48.7760 SF=0.0009(s=10.00) | frob=2.3954 (best=1.9281) | 34.3s
Epoch  73/300 | D=-0.0783 G=46.2428 SF=0.0009(s=10.00) | frob=1.9365 (best=1.9281) | 34.8s
Epoch  74/300 | D=-0.0711 G=44.6466 SF=0.0009(s=10.00) | frob=2.0908 (best=1.9281) | 36.5s
Epoch  75/300 | D=-0.0869 G=42.5328 SF=0.0009(s=10.00) | frob=1.9862 (best=1.9281) | 33.2s
Epoch  76/300 | D=-0.0991 G=40.5914 SF=0.0008(s=10.00) | frob=1.9998 (best=1.9281) | 33.4s
Epoch  77/300 | D=-0.0969 G=39.0306 SF=0.0008(s=10.00) | frob=2.0310 (best=1.9281) | 33.3s
Epoch  78/300 | D=-0.1030 G=37.2319 SF=0.0008(s=10.00) | frob=2.1938 (best=1.9281) | 33.4s
Epoch  79/300 | D=-0.1109 G=36.2354 SF=0.0008(s=10.00) | frob=1.7537 (best=1.9281) | 34.2s
Epoch  80/300 | D=-0.1091 G=34.3080 SF=0.0008(s=10.00) | frob=1.9286 (best=1.7537) | 33.9s
Epoch  81/300 | D=-0.1221 G=32.7026 SF=0.0008(s=10.00) | frob=2.0928 (best=1.7537) | 39.3s
Epoch  82/300 | D=-0.1329 G=30.7663 SF=0.0008(s=10.00) | frob=1.9816 (best=1.7537) | 33.6s
Epoch  83/300 | D=-0.1493 G=28.9498 SF=0.0008(s=10.00) | frob=1.9788 (best=1.7537) | 33.0s
Epoch  84/300 | D=-0.1584 G=27.0634 SF=0.0008(s=10.00) | frob=1.8754 (best=1.7537) | 33.3s
Epoch  85/300 | D=-0.1745 G=25.7874 SF=0.0008(s=10.00) | frob=1.7161 (best=1.7537) | 33.4s
Epoch  86/300 | D=-0.1838 G=23.5754 SF=0.0007(s=10.00) | frob=2.0341 (best=1.7161) | 33.4s
Epoch  87/300 | D=-0.1870 G=22.0742 SF=0.0008(s=10.00) | frob=2.0337 (best=1.7161) | 33.3s
Epoch  88/300 | D=-0.2150 G=20.8617 SF=0.0007(s=10.00) | frob=1.9458 (best=1.7161) | 33.3s
Epoch  89/300 | D=-0.2307 G=19.8065 SF=0.0007(s=10.00) | frob=1.8223 (best=1.7161) | 33.5s
Epoch  90/300 | D=-0.2490 G=18.3630 SF=0.0006(s=10.00) | frob=1.7397 (best=1.7161) | 33.2s
