Date,vix,us_2y,us_10y,us_20y,ig_credit,hy_credit,em_credit,usd_index,oil,gold_etf,commodity_broad,spx,nasdaq,russell,reits
2010-01-04,20.040000915527344,83.06999969482422,88.81999969482422,89.80999755859375,104.69999694824219,88.52999877929688,101.93000030517578,22.920000076293945,322.1600036621094,109.80000305175781,25.239999771118164,113.33000183105469,46.41999816894531,63.97999954223633,44.54999923706055
2010-01-05,19.350000381469727,83.16999816894531,89.20999908447266,90.38999938964844,105.19999694824219,88.94999694824219,102.55000305175781,22.90999984741211,323.2799987792969,109.69999694824219,25.270000457763672,113.62999725341797,46.41999816894531,63.7599983215332,44.5
2010-01-06,19.15999984741211,83.18000030517578,88.8499984741211,89.18000030517578,104.88999938964844,89.18000030517578,102.69000244140625,22.850000381469727,327.760009765625,111.51000213623047,25.719999313354492,113.70999908447266,46.13999938964844,63.70000076293945,44.41999816894531
2010-01-07,19.059999465942383,83.16000366210938,88.8499984741211,89.33000183105469,105.0199966430664,89.54000091552734,102.16000366210938,23.0,325.760009765625,110.81999969482422,25.399999618530273,114.19000244140625,46.16999816894531,64.16999816894531,44.900001525878906
2010-01-08,18.1299991607666,83.23999786376953,88.95999908447266,89.29000091552734,105.25,89.68000030517578,102.27999877929688,22.84000015258789,327.44000244140625,111.37000274658203,25.3799991607666,114.56999969482422,46.54999923706055,64.5199966430664,44.56999969482422
2010-01-11,17.549999237060547,83.27999877929688,89.0199966430664,88.80000305175781,105.36000061035156,89.5999984741211,103.05999755859375,22.719999313354492,324.32000732421875,112.8499984741211,25.299999237060547,114.7300033569336,46.36000061035156,64.26000213623047,44.83000183105469
2010-01-12,18.25,83.3499984741211,89.66000366210938,90.31999969482422,105.55999755859375,89.13999938964844,103.08000183105469,22.719999313354492,317.0400085449219,110.48999786376953,24.760000228881836,113.66000366210938,45.779998779296875,63.560001373291016,44.08000183105469
2010-01-13,17.850000381469727,83.27999877929688,89.2300033569336,89.2699966430664,105.12000274658203,89.33999633789062,102.8499984741211,22.700000762939453,313.67999267578125,111.54000091552734,24.780000686645508,114.62000274658203,46.349998474121094,64.37999725341797,44.970001220703125
2010-01-14,17.6299991607666,83.36000061035156,89.6500015258789,90.5199966430664,105.5,89.44000244140625,102.30999755859375,22.639999389648438,312.4800109863281,112.02999877929688,24.649999618530273,114.93000030517578,46.38999938964844,64.62000274658203,44.93000030517578
2010-01-15,17.90999984741211,83.43000030517578,90.05000305175781,91.08000183105469,105.45999908447266,89.08000183105469,102.25,22.770000457763672,307.20001220703125,110.86000061035156,24.3700008392334,113.63999938964844,45.849998474121094,63.68000030517578,44.59000015258789
2010-01-19,17.579999923706055,83.44999694824219,89.88999938964844,90.81999969482422,105.55000305175781,89.12000274658203,102.41000366210938,22.84000015258789,311.44000244140625,111.5199966430664,24.530000686645508,115.05999755859375,46.59000015258789,64.8499984741211,45.5
2010-01-20,18.68000030517578,83.44999694824219,90.19999694824219,91.73999786376953,105.4800033569336,88.98999786376953,102.52999877929688,23.1200008392334,303.1199951171875,108.94000244140625,24.06999969482422,113.88999938964844,45.91999816894531,63.90999984741211,44.9900016784668
2010-01-21,22.270000457763672,83.5199966430664,90.52999877929688,92.16000366210938,105.76000213623047,87.5999984741211,102.3499984741211,23.1200008392334,297.9200134277344,107.37000274658203,23.770000457763672,111.69999694824219,45.4900016784668,62.86000061035156,43.70000076293945
2010-01-22,27.309999465942383,83.58999633789062,90.61000061035156,92.0,105.5999984741211,86.7699966430664,102.05999755859375,23.079999923706055,290.7200012207031,107.16999816894531,23.520000457763672,109.20999908447266,44.15999984741211,61.72999954223633,42.599998474121094
2010-01-25,25.40999984741211,83.5199966430664,90.41000366210938,91.58000183105469,105.58999633789062,86.9000015258789,102.0999984741211,23.049999237060547,294.4800109863281,107.4800033569336,23.6299991607666,109.7699966430664,44.310001373291016,61.79999923706055,42.900001525878906
2010-01-26,24.549999237060547,83.52999877929688,90.58999633789062,91.61000061035156,105.30999755859375,87.01000213623047,102.06999969482422,23.149999618530273,292.0,107.55999755859375,23.3700008392334,109.30999755859375,44.349998474121094,61.189998626708984,42.5
2010-01-27,23.139999389648438,83.5,90.37999725341797,91.55999755859375,104.93000030517578,87.04000091552734,101.83999633789062,23.229999542236328,288.6400146484375,106.52999877929688,23.030000686645508,109.83000183105469,44.70000076293945,61.84000015258789,42.880001068115234
2010-01-28,23.729999542236328,83.54000091552734,90.3499984741211,91.51000213623047,104.77999877929688,86.66999816894531,101.5,23.270000457763672,289.2799987792969,106.4800033569336,22.950000762939453,108.56999969482422,43.54999923706055,60.779998779296875,42.5099983215332
2010-01-29,24.6200008392334,83.62000274658203,90.69999694824219,92.30999755859375,105.44999694824219,86.2300033569336,101.2300033569336,23.450000762939453,285.1199951171875,105.95999908447266,22.690000534057617,107.38999938964844,42.790000915527344,60.11000061035156,42.27000045776367
2010-02-01,22.59000015258789,83.5,90.08999633789062,91.1500015258789,104.52999877929688,85.9800033569336,100.77999877929688,23.350000381469727,293.760009765625,108.3499984741211,23.239999771118164,109.05999755859375,43.2599983215332,60.81999969482422,43.040000915527344
2010-02-02,21.479999542236328,83.51000213623047,90.23999786376953,91.41000366210938,104.86000061035156,86.23999786376953,100.54000091552734,23.270000457763672,300.239990234375,109.12999725341797,23.739999771118164,110.37999725341797,43.650001525878906,61.4900016784668,43.630001068115234
2010-02-03,21.600000381469727,83.44999694824219,89.80999755859375,90.3499984741211,104.75,86.68000030517578,100.4000015258789,23.399999618530273,301.20001220703125,108.69999694824219,23.450000762939453,109.83000183105469,43.88999938964844,61.08000183105469,42.91999816894531
2010-02-04,26.079999923706055,83.56999969482422,90.55000305175781,91.77999877929688,104.73999786376953,85.44999694824219,99.37999725341797,23.549999237060547,286.3999938964844,104.37000274658203,22.670000076293945,106.44000244140625,42.619998931884766,59.040000915527344,41.33000183105469
