epoch,train_critic_loss,train_critic_real_score,train_critic_fake_score,train_gradient_penalty,train_generator_loss,train_generator_score,train_vol_penalty,val_generator_loss,val_critic_real_score,val_critic_fake_score,val_wasserstein_estimate,val_mean_gap,val_vol_gap
0,2.1167049528557365,-0.25763350620992104,-0.27428784557239355,0.21333593108012514,3.7836529461003967,-0.3056066154553634,0.06956092661278228,1.0072363018989563,-1.0125666658083599,-1.0072363018989563,-0.005330363909403483,0.0005085509173416843,0.0018106128399570784
1,0.11316493636597011,-1.7595588261798276,-1.7674277212660192,0.012103383196517825,2.093219728793128,-1.7541691640676078,0.00678101140942614,1.7887326240539552,-1.7204536199569702,-1.7887326240539552,0.06827900409698487,0.0013440022400269906,0.0013152310042642058
2,-0.15442542851728908,-1.4510447817333674,-1.6531817266496562,0.004771151604087455,1.8649651559732727,-1.6642519094176211,0.004014265040819675,2.3745999654134113,-1.7948911428451537,-2.3745999654134113,0.5797088225682576,0.0012327057231838504,0.0013053662066037457
3,-0.9540859203217393,-2.0283589423713035,-3.0386259111307434,0.005618104877042134,3.2337670811152055,-3.0554578910439703,0.003566183749649484,4.601309521993001,-2.9879416783650714,-4.601309521993001,1.6133678436279297,0.0007463308982551097,0.0013000390880430737
4,-1.2982296458745406,-3.566417104106838,-4.938198089599609,0.007355134506015328,5.11897909035117,-4.9878323805534235,0.0026229345594864276,5.359093602498373,-4.135094547271729,-5.359093602498373,1.223999055226644,0.0007097666733898222,0.001115064761446168
5,-1.1061653100838096,-4.932112564474849,-6.108347714957544,0.0070069837709494185,6.270563343823967,-6.147892256914559,0.0024534222823804465,7.236359024047852,-6.026161193847656,-7.236359024047852,1.2101978302001952,0.0005689697534156342,0.0010265730748263498
6,-0.9511349443661965,-5.044020976050425,-6.054833646547997,0.005967772492775851,6.20779810113422,-6.070861282995192,0.002738736064757331,6.440902773539225,-5.608276971181234,-6.440902773539225,0.8326258023579916,0.000721788324881345,0.0011329468068045875
7,-0.793003214617907,-5.638322401854952,-6.4812366679563365,0.004991104922028479,6.665331727367336,-6.50759903859284,0.0031546534954617587,8.039785639444988,-7.259636878967285,-8.039785639444988,0.7801487604777019,0.0008072670587959389,0.001013706694357097
8,-0.759889113700996,-7.128009901208393,-7.933743242490089,0.004584423094687952,8.118557849172818,-7.959085812002925,0.003189440860049957,7.943485005696615,-7.288908894856771,-7.943485005696615,0.6545761108398438,0.000777590631817778,0.0009595040115527809
9,-0.7476796194658442,-8.454864857560498,-9.244628865840072,0.004208439168613009,9.435090307462014,-9.279959185648773,0.0031026228670409674,10.991054979960124,-10.275894991556804,-10.991054979960124,0.7151599884033203,0.0007575635177393754,0.0008127822967556616
10,-0.7252936565269859,-10.465858992883714,-11.230668827638787,0.003951617575031548,11.450729547920874,-11.295107033293126,0.0031124496698316374,12.0421449025472,-11.459704271952312,-12.0421449025472,0.5824406305948894,0.0007118586101569236,0.0008481116771387557
11,-0.7230197554927761,-13.000429201934297,-13.75987865965245,0.0036429702620006214,13.967401666156317,-13.812192221819345,0.0031041888977890297,16.049810791015624,-15.48315397898356,-16.049810791015624,0.5666568120320638,0.0006577770419729253,0.0007879981499475737
12,-0.7481328269182626,-14.848749774997517,-15.635218523316464,0.003833592198473417,15.816945657891742,-15.669511778879974,0.0029486769620897407,16.615991592407227,-15.957894452412923,-16.615991592407227,0.6580971399943034,0.0005453167483210564,0.0009690755279734731
13,-0.7568695565401498,-18.051222526420982,-18.84837962005098,0.004028753786184036,18.89933429330082,-18.759041220454847,0.0028058588307477155,19.349014663696288,-18.76754633585612,-19.349014663696288,0.5814683278401692,0.0005662847426719964,0.0008131729438900948
14,-0.7619929202532364,-18.873862799951585,-19.67403221130371,0.0038176490150794574,19.835859815953143,-19.700357307822017,0.002710049999562108,22.183303705851237,-21.53289057413737,-22.183303705851237,0.6504131317138672,0.0005934772120478253,0.0009841968577044705
15,-0.7921932481103025,-19.45788816678322,-20.290548809504106,0.004046739207312338,20.40866644907806,-20.276818000664147,0.0026369689198179266,20.882546997070314,-20.23338851928711,-20.882546997070314,0.6491584777832031,0.0005923463768946628,0.0009383513320547839
16,-0.8359701390993797,-19.061765638448424,-19.937828839835475,0.004009306373102275,20.156957658670716,-20.031087616742667,0.0025173996306829534,20.339880498250327,-19.64275728861491,-20.339880498250327,0.6971232096354166,0.0005272323556710035,0.0009308633743785322
17,-0.8355005434003927,-18.589441638881876,-19.469714148569917,0.004477196870276989,19.421970173463983,-19.29460874654479,0.0025472291192765962,18.33073310852051,-17.68219757080078,-18.33073310852051,0.6485355377197266,0.0005694217048585415,0.0009908704436384142
