epoch,train_critic_loss,train_critic_real_score,train_critic_fake_score,train_gradient_penalty,train_generator_loss,train_generator_score,val_generator_loss,val_critic_real_score,val_critic_fake_score,val_wasserstein_estimate,val_mean_gap,val_vol_gap
0,1.9389903679237528,-0.9781619139505013,-0.9539915549142634,0.19148199678146108,0.9505237475761718,-0.9505237475761718,0.251160897143806,-0.36782714327176413,-0.251160897143806,-0.116666246453921,0.0012207484959314266,0.004707127188642819
1,4.822462116257619,0.2307438113789816,0.35911040936233635,0.46940954989295897,-0.3476359781698655,0.3476359781698655,0.009434283594600856,-0.003049787355121225,-0.009434283594600856,0.006384496204555034,0.007326507040609916,0.011385946907103062
2,7.411412053189035,0.0028091189362724326,-0.00759545588960587,0.742181663038367,0.00798367120728086,-0.00798367120728086,-0.020069025332729022,0.01732860803604126,0.020069025332729022,-0.002740417296687762,0.007515833775202433,0.0076350595181186994
3,7.082375158697872,-0.39906523292252827,-1.039422653899607,0.7722732604055081,1.102673263115398,-1.102673263115398,8.05513858795166,-5.559886455535889,-8.05513858795166,2.4952521324157715,0.008725033327937125,0.007578005859007438
4,-0.7892279438043045,-8.800285331273484,-9.687596911090916,0.009808363700759107,9.732655670683263,-9.732655670683263,12.560526212056478,-12.244094212849935,-12.560526212056478,0.31643199920654297,0.0008274365100078285,0.00836018898213903
5,-0.11372205665556051,-10.464477320848886,-10.65674767251742,0.00785482945626057,10.671587523767503,-10.671587523767503,6.327909374237061,-6.184329223632813,-6.327909374237061,0.14358015060424806,0.0008788447788295647,0.008347718169291814
6,-0.189976822774289,-5.521574489140915,-5.752168962510965,0.004061765098151104,5.7887904037863525,-5.7887904037863525,6.321754995981852,-6.152487246195475,-6.321754995981852,0.16926774978637696,0.0012169777881354093,0.007684069716682037
7,-0.34317843439215323,-7.659533436015501,-8.045199038618701,0.004248716845275771,8.116884166911497,-8.116884166911497,6.08121608098348,-5.8500086784362795,-6.08121608098348,0.2312074025472005,0.0010226843374160429,0.008661532153685888
8,-0.4373816766981351,-9.60632759837781,-10.081250691817978,0.003754141634937881,10.045360379299876,-10.045360379299876,9.102930196126302,-8.732316907246908,-9.102930196126302,0.37061328887939454,0.0005825679264186572,0.006049573452522357
9,-0.5020466588311276,-9.363201763670324,-9.899943497221349,0.0034695070338538075,9.743205628152621,-9.743205628152621,9.958212025960286,-9.468065706888835,-9.958212025960286,0.49014631907145184,0.0008399189915508032,0.006636520785590013
10,-0.5646046379865226,-9.87829627829083,-10.472583924309681,0.002968300276009713,10.383849079326048,-10.383849079326048,9.960017013549805,-9.348867543538411,-9.960017013549805,0.6111494700113932,0.0004971691504276047,0.004670363975067934
11,-0.6141889565071817,-11.7721395330914,-12.417992721169682,0.0031664234727139633,12.338875431125446,-12.338875431125446,14.993875122070312,-14.431996917724609,-14.993875122070312,0.5618782043457031,0.0004166420743179818,0.004542102664709091
12,-0.6454642349380558,-14.864483235246045,-15.54038199731859,0.0030434529064716455,15.521115901106494,-15.521115901106494,15.110616938273113,-14.545102310180663,-15.110616938273113,0.5655146280924479,0.0004145986866205931,0.004649383015930653
13,-0.7096146092576495,-15.95216178894043,-16.68598273649054,0.002420633401370497,16.762631885075972,-16.762631885075972,15.870795758565267,-15.302224477132162,-15.870795758565267,0.5685712814331054,0.0003473028870454679,0.0044284707866609095
14,-0.7630095663717238,-17.450498419292902,-18.243442357596706,0.002993437431464603,18.283730781684486,-18.283730781684486,16.929689153035483,-16.34484996795654,-16.929689153035483,0.5848391850789388,0.00048771505826152863,0.007207344689716896
15,-0.8260441725536928,-19.19973638502218,-20.04769913624909,0.0021918580940849604,20.293061531196205,-20.293061531196205,19.990450032552083,-19.339361699422202,-19.990450032552083,0.6510883331298828,0.00035495065773526825,0.004080552856127421
16,-0.8460696481041989,-20.474285190388308,-21.344804893105717,0.002445005123371306,21.50053709644382,-21.50053709644382,18.892623519897462,-18.19913584391276,-18.892623519897462,0.6934876759847005,0.00040768506199431915,0.004385149913529555
17,-0.8879191309718762,-21.69965462765451,-22.614844112072962,0.0027270354187486977,22.83809713589943,-22.83809713589943,24.358448282877603,-23.675548553466797,-24.358448282877603,0.6828997294108073,0.00037420705969755846,0.0033538731435934703
18,-0.9030885484259007,-24.487608149900275,-25.413243730189436,0.0022547032853777885,25.789609682762016,-25.789609682762016,24.006297047932943,-23.263107299804688,-24.006297047932943,0.7431897481282552,0.00044612362592791517,0.0035818266527106366
19,-0.9195419277174998,-25.691494602268026,-26.633227978722523,0.0022191446954266058,26.861267801058496,-26.861267801058496,28.53410962422689,-27.756415812174478,-28.53410962422689,0.7776938120524088,0.00037844114121980964,0.004190479591488838
20,-0.9459895501702519,-28.628658747268936,-29.59625764620506,0.0021609353968060686,30.1068819336972,-30.1068819336972,28.031772104899087,-27.239310455322265,-28.031772104899087,0.792461649576823,0.0003183482796885073,0.003966242944200834
