Date,aapl,msft,nvda,amzn,jpm,jnj,xom,tsla,nflx,v,googl,meta,brk_b,unh,ma,hd,pg,cost,dis,intc,bac,wfc,gs,axp,blk,pfe,mrk,abt,tmo,lly,orcl,csco,qcom,txn,adbe,crm,avgo,wmt,mcd,nke,sbux,low,cvx,cop,ba,cat,hon,ups,vz,t
2012-05-21,0.056626258753207696,0.01626566655141383,0.017234356212525215,0.01972471508586604,-0.0296991289500418,0.0018929375480275874,0.006972132816854771,0.04296792351472543,0.025124309396642654,0.0312877962276599,0.022577954718201867,-0.11637807444440255,0.011215533756713459,0.02848469320025282,0.039799349555533214,0.0118322577888772,-0.002048884902976224,0.009479633485163211,0.01315190320355243,0.003064210056604392,-0.02743870944192889,0.014757906138158142,0.010625377759902684,0.016647294107078197,-0.0246154078890854,-0.0013301378390210546,-0.005833852246246588,0.003890837659845719,0.026938952223834446,0.004686810813091597,0.02506381143246223,0.012070521555590682,0.021908988091561336,0.025770472381626663,0.02211078326484908,0.023555900519117764,0.029215558956987037,0.009723463330330315,0.015680261661882897,0.016833913087939995,0.041248933838012834,-0.10661000959094052,0.012414608053687144,0.018521043720134227,0.03732784817033275,0.03653712573139478,0.03207099533592497,0.008205990141195316,-0.004585259599523695,-0.0008912969537658899
2012-05-22,-0.007708414575904576,0.00033650394422267356,-0.012279795007593642,-0.012827781408528287,0.04510697934789326,0.000786752771145756,-0.0010980848071081221,0.06818138048237622,-0.05781421058347032,0.018499278591927147,-0.021911967875134997,-0.09325515408502176,-0.0018814871849845514,0.0030555865699058004,0.006941591548080651,0.013560191436401489,-0.003793263200113664,-0.004188847485828465,0.0,-0.004599164530570013,0.02172421709996445,0.008562178337175258,0.010513359931337543,0.00035521914828111627,-0.026337609419401945,-0.00757047063802889,-0.00373056844689354,0.0029077406262844035,-0.011233872384612643,0.009065722437381577,0.003800851264449689,0.0035927793706281826,0.012331898955524898,-0.0040788464791120345,0.0,0.0026801621608733496,0.011579349020827355,0.010886207116633387,0.0007668647092771107,0.011313182989962606,-0.006164150074220203,-0.004305910833985584,-0.0037179255157374826,-0.0019333100705401574,-0.004188447451859952,-0.005341700856057816,0.004374302278998509,0.0016062780768506264,0.0012089586801595107,-0.002680166230504881
2012-05-23,0.024107217303531346,-0.022083692651738533,0.02441146027601981,0.00901509481224248,0.007323425179410054,-0.003943104635605904,0.0010980848071080265,0.0071176464675179706,0.060181501267914175,0.006566492417873435,0.014311207116823228,0.03174877582733794,0.0012546861515971494,-0.006481749494820021,0.008789977836102258,0.009897252615043067,-0.012107876346388453,0.0024638242313435588,-0.004062954771647437,-0.022927201048023434,0.026856814604156124,0.0022075494665827985,0.005215519367755851,-0.006766123246727214,0.02496540536444499,-0.012596151556007759,-0.003208326444855624,-0.010051766365499964,-0.007036483433130437,-0.008081811638524068,0.012066684267087834,-0.0023936933304253534,0.003618736982483836,-0.007521816698216552,0.005296849501567161,0.007731950072147914,0.06948329309714167,0.013249129703252783,0.0015318462515294337,-0.008612438970194713,0.0353426799558598,0.02709162660755029,-0.0032270971965708394,0.008095908520672,0.0012585124854981751,0.010654551707773855,0.005918116703455584,0.0032053287899654432,-0.0026609826351533506,-0.005380974368426858
2012-05-24,-0.009226789332771924,-0.0013747153548429889,-0.026886048230540912,-0.009433181446076506,-0.008500032191755335,0.006997451019508475,0.006923778842787963,-0.02414461046300701,-0.023070827148141997,0.00502237980303564,-0.009562121381579648,0.031680224715193175,0.0006268010333875426,0.015415026622162419,0.006547370688374643,0.019705595906021073,0.0028807370729392965,0.013946108034500007,0.005188559016580233,0.008220790654914064,-0.004193147566191124,0.0022034785119423917,-0.012109132693121406,0.006588652642550674,0.017399896108932857,0.002261137943767419,0.006938894891749071,0.016964527679490738,0.023840241717849372,0.011976696463795932,-0.021212954229882584,-0.01813841203963288,-0.01717455210048625,-0.008615932610382094,-0.020088540485244444,-0.02964986209073813,-0.030594037120516886,0.007559199557018701,0.0005461650906840319,-0.00037209185556254514,-0.009631554706027234,0.03415607198236602,0.010649982088260594,0.0009589195095972434,-0.0025179654008609205,-0.011419935765899137,-0.0060927219041993054,0.0023968218990789397,0.002660982635153269,0.008358195014140158
2012-05-25,-0.005374210295444829,-0.0003441608651122527,0.02366482559661731,-0.010978112817300755,-0.013932557811429365,-0.009394152661832186,-0.00643632405251182,-0.015643815294831984,-0.0007115731792691402,-0.003345331395647444,-0.020298800833744305,-0.03449689701691021,-0.006916129940951494,-0.0017800776385654927,-0.014080238110354314,-0.005445849175733903,-0.0012793232663668062,0.0,0.0013493683993702921,0.0035024767763954185,0.0013997560731194604,0.0015703311590958657,-0.0016536842821583968,-0.009451797336000718,0.0053833873993083935,-0.00045205879710002143,-0.0013306656620304435,-0.0027272354890962264,-0.010203295393647806,-0.0012156041249377987,0.0007655484500752315,-0.0036677133211236827,0.0029705456404996527,0.001729231608871233,0.0019005221023013802,0.00538871366598611,0.019495015246545955,0.00368143672768714,-0.005257901375511347,0.012114659839700333,-0.00365889837894433,0.005152877978183113,-0.012065369066890397,-0.0005753580945822614,-0.019662747539505258,-0.016321462285000032,-0.009121540549713654,-0.003197478853222072,0.0014481680733277778,0.0014854421955970687
2012-05-29,0.017593148186676937,0.01705943855488107,0.02547954827970465,0.008698999025762228,0.0038728320380500584,0.0012790932239000786,-0.0018293025168505546,0.0611576013130172,-0.011170212207477562,0.007594736824143614,0.004739160475512982,-0.10115604005903768,0.007166683039898221,0.0005345182203611508,0.005035868436297401,0.012736263717573202,0.0073341717639503505,0.025246885892554728,0.021783604470668527,0.013505899449751094,0.03975844099621198,0.012166727650115877,0.016693331694010483,0.013349220797330532,0.01873099577359385,0.002257215340676242,0.001064823654911624,-0.0017688366115622362,0.0007737143551680445,0.00461109713443116,0.01216726907180697,0.01579635285391602,0.018494592996925806,0.014408517699727418,0.014140026897322544,-0.00895162072277943,0.038465915115597285,0.005648846602296452,-0.0016487112694345855,0.019389679459254065,0.01852217143650809,0.009135646592399994,0.013862754448315296,0.022016358958387043,0.00569807871028071,0.0282815364867779,0.00789844976319812,0.007577588808310786,0.007211315514327392,0.0073927120190073435
2012-05-30,0.011985160037548848,-0.007470300642292175,-0.011862199847213074,-0.026040437232411215,-0.020123556009304357,-0.006089617671277145,-0.026466745959048004,-0.041230023409546984,-0.03070862738846661,-0.02346916870632505,-0.010333580023114327,-0.02279589162065773,-0.012480437497580004,0.00035587403049342,-0.010801448441229166,-0.0014074020124824993,-0.010058293482046185,-0.009626043764844903,-0.006175437959460399,0.0015321560236760258,-0.03144482584445346,-0.01720158649634503,-0.033774516190137424,-0.01964023200007599,-0.022180256015399014,-0.0063320747185424886,-0.005067310803520387,-0.005648053465882708,-0.010691014732663059,-0.0075346275622249995,-0.011020088675715745,-0.012128639532792319,-0.01193901835785821,-0.01406345264779448,-0.023998572621802366,-0.033075867308994915,-0.041185000214985265,-0.003660546756120851,-0.008728692436868985,-0.02104556620890954,-0.015411295894231554,-0.018356066476994806,-0.026382863213170914,-0.023360695460802553,-0.014450656580387987,-0.025616310972316265,-0.017637350289783586,-0.011990511709424315,-0.00793518427147535,-0.0029506684538855785
2012-05-31,-0.002489268110469066,-0.005125662198209155,-0.011200773032422869,0.01743541700988411,0.005748310909043532,0.003529972927937501,-0.014645073962626215,-0.030380886354557376,-0.05965953270527135,-0.019683593654461637,-0.012608249044910909,0.048806984579954964,0.0067008123678310594,-0.007146552613238551,-0.012394996944453947,-0.007470861096480351,-0.00048118382667170666,0.006736098583256655,0.011219666018193531,-0.011160292483559991,0.020619224761578066,0.010980653942620438,0.011454785084505098,0.006649290755149108,0.000175835287273142,-0.007743365969518578,0.004801481188436342,0.0,-0.01357599707242541,-0.0009762880089657425,0.011397709503455157,-0.0036677133211236827,-0.002439727821360702,-0.016368185854493112,-0.007699803132044736,-0.016668902332762886,0.0012092051410994144,0.005790397378464279,-0.0007834918136465612,-0.0006469689193431999,0.002919324109668975,-0.01005412979146427,0.0069408771879167,0.0023032383358336066,0.0031654926957350115,-0.028798693266891582,-0.0096547892606412,0.004412922901113559,0.005297361665786133,0.009704885309798723
2012-06-01,-0.02940368909898638,-0.02567847030421711,-0.03687402869536231,-0.022274321175586566,-0.037497158856206365,-0.010466186568269233,-0.009070643143588337,-0.04684291705020961,-0.007753846716549127,-0.025941249211095793,-0.01715549152376983,-0.06562034416506138,-0.004293528166370839,-0.013176068845899287,-0.03690817655163311,-0.02836733303487989,-0.011951324096237897,-0.010472212746675872,-0.029077661518430664,-0.027463797281224486,-0.04593698916158633,-0.06078060931457249,-0.032497251026903214,-0.04393856927454133,-0.025077479442299197,-0.01057247189020225,-0.010701122796833105,-0.020767975899570128,-0.02710766116925298,-0.01948009720280653,-0.01791482242996282,-0.022918236639912295,-0.0389620537260882,-0.05336477853503643,-0.04041948470550585,-0.05661533502749351,-0.06619144460219643,-0.004110534714937244,-0.029880223720840936,-0.033652891522102234,-0.05120706816109555,-0.013564431172681172,-0.01951548389023112,-0.018771763945594534,-0.034639736775138145,-0.024258949991390888,-0.031389711761645865,-0.022809049605171685,-0.014757259872228564,-0.007932945318534333
2012-06-04,0.005865279375233763,0.003509249957840156,-0.021089070669229545,0.030040822361707704,-0.02955886318282081,0.009023682108507635,-0.0011556716929554602,-0.009637770447744642,0.03204574585976683,0.01687273504315397,0.01323983520951094,-0.030027843785140527,0.0002531225215326926,-0.002364656193415562,0.021413927595445727,0.016542632367763245,-0.002440150391779706,0.012438527334935329,0.00022528937110498644,-0.003985301120259887,-0.01724189436105856,-0.0036541344326875605,-0.01786142313087511,0.0014960168223428743,-0.009470467851409137,-0.0013871779299279993,0.007502225972142419,-0.004969265696596919,-0.010229155225914704,-0.00024885100260444885,0.007662622986597152,0.009354551014283551,0.013156515347478585,0.0033277764031367767,0.016298374347200047,0.001754298050942223,-0.014631912893993725,0.006689779941783408,-0.004507700055383772,0.000955577072487718,0.03300627051316989,0.011316263486838644,0.0017615276312653832,0.002146271038366096,0.003859024190238539,-0.026782045194468782,-0.013813362821230423,-0.0035560354455242455,0.007526640210102988,0.0073472803756219505
